id,poäng
1A,1045
1B,955
2A,910
2B,890
3A,980
3B,1025
4A,850
4B,1150
5A,1000
5B,1000
6A,870
6B,1130
7A,1085
7B,915
8A,940
8B,960
9A,500
9B,500
11A,980
11B,1020
12A,845
12B,855
